Sno,track_name,currency,price
1,PAC-MAN Premium,USD,3.99
2,Evernote - stay organized,USD,0
3,"WeatherBug - Local Weather, Radar, Maps, Alerts",USD,0
4,"eBay: Best App to Buy, Sell, Save! Online Shopping",USD,0
5,Bible,USD,0
6,Shanghai Mahjong,USD,0.99
7,PayPal - Send and request money safely,USD,0
8,Pandora - Music & Radio,USD,0
9,PCalc - The Best Calculator,USD,9.99
10,Ms. PAC-MAN,USD,3.99
11,Solitaire by MobilityWare,USD,4.99
12,SCRABBLE Premium,USD,7.99
13,Google – Search made just for mobile,USD,0
14,Bank of America - Mobile Banking,USD,0
15,FreeCell,USD,4.99
16,TripAdvisor Hotels Flights Restaurants,USD,0
17,Facebook,USD,0
18,"Yelp - Nearby Restaurants, Shopping & Services",USD,0
20,"Shazam - Discover music, artists, videos & lyrics",USD,0
21,Crash Bandicoot Nitro Kart 3D,USD,2.99
22,iQuran,USD,1.99
23,:) Sudoku +,USD,2.99
24,"Yahoo Sports - Teams, Scores, News & Highlights",USD,0
25,Mileage Log | Fahrtenbuch,USD,5.99
27,Cleartune - Chromatic Tuner,USD,3.99
28,Lifesum – Inspiring healthy lifestyle app,USD,0
29,Hangman.,USD,0
31,iTranslate - Language Translator & Dictionary,USD,0
32,TouchOSC,USD,4.99
33,RadarScope,USD,9.99
34,LinkedIn,USD,0
35,Period Tracker Deluxe,USD,1.99
36,Election 2016 Map,USD,0.99
37,Blackjack by MobilityWare,USD,0
39,White Noise,USD,0.99
40,iHeartRadio – Free Music & Radio Stations,USD,0
41,Line Rider iRide™,USD,1.99
42,Deliveries: a package tracker,USD,4.99
43,Hurricane Pro,USD,2.99
47,Fieldrunners,USD,2.99
48,Juxtaposer,USD,2.99
49,Deezer - Listen to your Favorite Music & Playlists,USD,0
50,iStellar,USD,3.99
51,Sonos Controller,USD,0
52,Avertinoo,USD,4.99
53,Google Earth,USD,0
54,iFart - The Original Fart Sounds App,USD,1.99
55,PAC-MAN,USD,0
57,FOX Sports Mobile,USD,0
58,First Words Animals,USD,1.99
59,WeatherPro,USD,1.99
60,HotSchedules,USD,2.99
61,Star Walk - Find Stars And Planets in Sky Above,USD,4.99
62,"The Weather Channel: Forecast, Radar & Alerts",USD,0
63,Big Day - Event Countdown,USD,0.99
64,12 Steps AA Companion - Alcoholics Anonymous,USD,2.99
65,OpenTable - Restaurant Reservations,USD,0
66,VLC Remote,USD,4.99
67,gFlashPro - Flashcards & Tests,USD,3.99
68,Lose It! – Weight Loss Program and Calorie Counter,USD,0
69,Target,USD,0
70,Fish Tycoon,USD,0.99
71,"Amazon App: shop, scan, compare, and read reviews",USD,0
72,Touchgrind,USD,4.99
73,ProPresenter Remote,USD,4.99
74,iReal Pro - Music Book & Play Along,USD,12.99
75,NRJ Radio,USD,0
76,Chase Mobile℠,USD,0
77,大辞林,USD,21.99
79,Allrecipes Dinner Spinner,USD,0
80,新浪新闻-阅读最新时事热门头条资讯视频,USD,0
81,MotionX GPS,USD,1.99
82,AccuWeather - Weather for Life,USD,0
83,"Mint: Personal Finance, Budget, Bills & Money",USD,0
84,ABC News - US & World News + Live Video,USD,0
85,Rowmote: Remote Control for Mac,USD,0.99
86,Peekaboo Barn,USD,1.99
87,Speedtest by Ookla,USD,0
89,Pocket God,USD,0.99
90,Nike+ Training Club - Workouts & Fitness Plans,USD,0
91,Citi Mobile®,USD,0
92,Phase 10 Pro - Play Your Friends!,USD,1.99
93,"Kindle – Read eBooks, Magazines & Textbooks",USD,0
95,MASH,USD,1.99
96,同花顺-炒股、股票,USD,0
97,Wedding Dash Deluxe,USD,0.99
99,Beer Pong Game,USD,0
100,Tempo - Metronome with Setlists,USD,2.99
101,Skat,USD,3.99
102,Color Splash,USD,0.99
103,Zombieville USA,USD,0.99
104,Skype for iPhone,USD,0
105,Tumblr,USD,0
106,iSwap Faces,USD,1.99
107,Match™ - #1 Dating App.,USD,0
108,Tozzle - Toddler's favorite puzzle,USD,2.99
109,HomeBudget with Sync,USD,4.99
110,Wind Meter,USD,0.99
111,Map My Run+ - GPS Running & Workout Tracker,USD,2.99
112,Map My Ride+ - GPS Cycling & Route Tracker,USD,2.99
113,"HuffPost - News, Politics & Entertainment",USD,0
114,Phrase Party!,USD,1.99
115,Minesweeper Classic,USD,0.99
116,Sally's Spa,USD,2.99
117,"CBS Sports App - Sports Scores, News, Stats, Watch",USD,0
118,Brain Wave ™ - 32 Advanced Binaural Brainwave Entrainment Programs with iTunes Music and Relaxing Ambience,USD,4.99
119,iSwap Faces LITE,USD,0
120,DIRECTV,USD,0
121,NYTimes Crossword - Daily Word Puzzle Game,USD,0
122,Doodle Jump,USD,0.99
123,LEDit – The LED Banner App,USD,1.99
124,niconico,USD,0
125,Fandango Movies - Times + Tickets,USD,0
126,iCab Mobile (Web Browser),USD,1.99
128,iRagdoll - Ragdoll Physics,USD,0.99
129,Proloquo2Go - Symbol-based AAC,USD,249.99
130,Dictionary.com Dictionary & Thesaurus,USD,0
132,20 Minutes.fr - l'actualité en continu,USD,0
133,The Masters Tournament,USD,0
134,myAT&T,USD,0
135,SFR TV,USD,0
136,"Shutterfly: Prints, Photo Books, Cards Made Easy",USD,0
137,StickWars,USD,0.99
138,Indeed Job Search,USD,0
139,World Cup Table Tennis™,USD,0.99
140,WhatsApp Messenger,USD,0
141,"iStudiez Pro – Homework, Schedule, Grades",USD,2.99
142,Zillow Real Estate - Homes for Sale & for Rent,USD,0
144,2XL Supercross,USD,4.99
146,Pocket Tanks Deluxe,USD,4.99
148,Wells Fargo Mobile,USD,0
150,radio.de - Der Radioplayer,USD,0
151,AutoScout24 - mobile used & new car market,USD,0
152,Sky Burger - Build & Match Food Free,USD,0
153,MindNode – Delightful Mind Mapping,USD,9.99
154,Packing Pro,USD,2.99
155,USAA Mobile,USD,0
156,The Moron Test,USD,0
157,Sunday Lawn,USD,0.99
158,Peggle Classic,USD,0.99
159,SmartGo Player,USD,2.99
160,I Am T-Pain 2.0,USD,2.99
161,TextNow - Unlimited Text + Calls,USD,0
162,Boating Weather,USD,1.99
163,Best Buy,USD,0
164,I Dig It,USD,0.99
165,Unblock Me,USD,0.99
166,Sonic The Hedgehog,USD,2.99
168,10 Pin Shuffle Pro Bowling,USD,3.99
169,Sky News,USD,0
171,"ESPN: Get scores, news, alerts & watch live sports",USD,0
172,LiveATC Air Radio,USD,3.99
173,The Sims 3,USD,6.99
175,"Chess Pro with Coach - Learn,Play & Online Friends",USD,9.99
176,Guess My Age  Math Magic,USD,0
177,Crush the Castle,USD,0.99
178,2016 U.S. Open Golf Championship,USD,0
179,"The Championships, Wimbledon 2016 - Tennis Grand Slam",USD,0
180,TuneIn Radio Pro - MLB Audiobooks Podcasts Music,USD,9.99
181,NBC News,USD,0
182,"Grindr - Gay and same sex guys chat, meet and date",USD,0
183,Whole Foods Market,USD,0
184,NAVIGON Europe,USD,74.99
185,Virtual Families,USD,1.99
186,Sparkasse+,USD,0.99
187,Sparkasse - Your mobile branch,USD,0
188,Sleep Cycle alarm clock,USD,0
189,FACEinHOLE®,USD,0.99
190,Harvest - Select the Best Produce,USD,1.99
191,WORMS,USD,1.99
192,Pixel Starships™ : 8Bit MMORPG,USD,0
193,Traffic Rush,USD,0.99
194,MyRadar NOAA Weather Radar Forecast,USD,0
196,Resident Evil 4: PLATINUM,USD,4.99
197,"Waze - GPS Navigation, Maps & Real-time Traffic",USD,0
198,Cartoon Wars,USD,0.99
199,Moto X Mayhem,USD,0.99
200,Fantasy Football Manager - FFM for FPL,USD,0.99
202,Spotify Music,USD,0
203,McDo France,USD,0
204,PGA Championship 2016 – Baltusrol Golf Club,USD,0
206,BFMTV : l'info en continu,USD,0
207,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",USD,1.99
208,Spider:  The Secret of Bryce Manor,USD,1.99
209,My Measures PRO,USD,7.99
210,Food Additives Checker (E Numbers),USD,1.99
212,SFR Mon Compte,USD,0
213,Baby Connect (Activity Log),USD,4.99
214,Epson iPrint,USD,0
215,Mad Libs,USD,0
217,BATTLE BEARS: Zombies!,USD,0.99
219,Hurricane Tracker,USD,2.99
220,NFL Sunday Ticket,USD,0
221,2016 US Open Tennis Championships,USD,0
222,Dropbox,USD,0
223,Wa Kingyo - Goldfish Pond,USD,0.99
224,Monkey Preschool Lunchbox,USD,1.99
225,Yahoo Fantasy Sports,USD,0
226,Gaia GPS Classic,USD,19.99
227,iLoan Calc (Loan calculator),USD,3.99
228,Geocaching®,USD,0
229,Camera+,USD,1.99
230,Alter Ego,USD,4.99
231,Parking Mania,USD,0.99
232,Sudoku⁺,USD,2.99
234,Period Tracker Lite,USD,0
235,Camera Plus: For Macro Photos & Remote Photography,USD,0.99
236,The perfect Egg timer,USD,0.99
237,Letter Quiz - alphabet tracing for kids,USD,1.99
238,Starbucks,USD,0
239,央视影音-海量央视内容高清直播,USD,0
240,Bloons TD,USD,2.99
241,Weight Watchers,USD,0
242,"CNN: Breaking US & World News, Live Video",USD,0
243,Gilt,USD,0
245,TRUTH or DARE!!! - FREE,USD,0
246,Canabalt,USD,2.99
247,Alipay - Makes Life Easy,USD,0
248,Scanner911 Pro,USD,3.99
249,Daily Teachings,USD,4.99
250,Scanner Pro - PDF document scanner app with OCR,USD,3.99
251,Twitter,USD,0
252,"Trainline UK: Live Train Times, Tickets & Planner",USD,0
253,CBS News - Watch Free Live Breaking News,USD,0
254,iOvilus,USD,1.99
255,The Impossible Quiz!,USD,0
257,WolframAlpha,USD,2.99
258,Catan,USD,1.99
259,ScanBizCards Business Card Reader,USD,0.99
261,"Walgreens – Pharmacy, Photo, Coupons and Shopping",USD,0
262,King of Dragon Pass,USD,9.99
263,Stylebook,USD,3.99
264,NBA,USD,0
265,Blower,USD,0.99
266,My Cycles Period and Ovulation Tracker,USD,0
267,"Kmart – Download Now, Shop Online & Pick Up Today!",USD,0
268,优酷视频,USD,0
269,DOOM Classic,USD,4.99
270,SoundCloud - Music & Audio,USD,0
271,imo video calls and chat,USD,0
272,Plane Finder - Flight Tracker,USD,3.99
274,"Runtastic Running, Jogging and Walking Tracker",USD,0
275,iFiles,USD,0.99
276,TeachMe: Kindergarten,USD,1.99
277,Moorhuhn Deluxe - Crazy Chicken,USD,0.99
278,Victoria’s Secret – The Sexiest Bras & Lingerie,USD,0
279,MONOPOLY Game,USD,0.99
281,n-tv Nachrichten,USD,0
282,Shazam Encore,USD,2.99
283,Harry Potter: Spells,USD,0.99
284,First Words Deluxe,USD,4.99
285,Clay Hunt,USD,0.99
286,Dream Team - be your own fantasy football manager,USD,0
287,Jet Car Stunts,USD,1.99
288,Call of Duty: Zombies,USD,4.99
289,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",USD,0
290,AirWatch Agent,USD,0
291,Shop Savvy Barcode Scanner - Price Compare & Deals,USD,0
292,Voice Changer Plus,USD,0
293,CatPaint,USD,0.99
294,Redbox,USD,0
295,クックパッド - No.1料理レシピ検索アプリ,USD,0
296,Trenches,USD,0.99
297,The Christmas List,USD,1.99
298,Macy's,USD,0
299,Calorie Counter & Diet Tracker by MyFitnessPal,USD,0
300,BlaBlaCar - Trusted Carpooling,USD,0
